Lookup Code,Description,Qty,Total (Tax included)
0110041204,Pho Special ,447,"5,691.39"
0110054137,Spring Rolls (2) ,385,"2,454.46"
0110125810,Pork Belly Banh Mi ,352,"3,376.69"
0118072941,Pho Chicken ,261,"3,072.04"
0110054059,Egg Rolls (3) ,211,"1,013.51"
0126073557,Thai Tea ,188,988.85
0712013609,Pho Filet Mignon ,188,"2,804.62"
0110054856,Pho Shrimp ,177,"2,266.62"
1112041825,Vietnamese Iced Coffee ,147,767.42
0110055058,Lemongrass Chicken Banh Mi ,142,"1,202.58"
0605023634,Mango Sweet Rice ,103,934.36
0823044656,Vermicelli Salad ,101,"1,326.70"
0605023506,Pho Vegan ,96,"1,233.78"
0529010936,Spicy Basil Chicken ,80,"1,142.44"
0110125814,Lemongrass Pork Banh Mi ,75,642.61
0126073445,Tofu Spring Rolls (2) ,75,480.77
1030030048,Saigon Hot Wings ,70,599.82
0612013938,Tofu Banh Mi ,67,567.60
0826060240,Firecracker Shrimp (5) ,66,365.82
0605023613,Chicken Skewers (3) ,63,414.60
0227011223,Water Bottle ,58,121.80
0808120923,Passionfruit Green Tea ,55,281.62
0110060101,Coke ,48,100.82
0718022356,Saigon Rice Plate ,48,628.72
0608094441,Shrimp Banh Mi ,37,393.44
1112041851,Iced Matcha Latte ,33,173.30
0613112614,Jasmine Green Tea ,26,110.65
0808120938,Strawberry Green Tea ,25,132.21
1105045327,Fries ,22,-0.03
0712044630,Chicken Skewer Plate ,22,259.60
0110060114,7 Up ,20,41.57
0826044947,Honeydew Green Tea ,18,95.95
0618081612,Side of Broth ,15,78.92
0612014956,Side of Rice ,14,36.96
1018110249,Spicy Basil Filet Mignon ,9,137.77
1018105958,Spicy Basil Tofu ,9,126.63
0616061048,Side of Noodles and Broth ,8,68.56
1454683623,Open Price ,7,13.60
1018110410,Diet Coke ,7,14.71
1018110005,Spicy Basil Shrimp ,6,97.74
0606025139,Diet Pepsi ,6,12.61
0612015019,Side of Noodles ,5,15.90
0807042808,Pepsi ,2,4.20
0614124408,Fried Egg (1) ,2,4.20
1226011857,Fish Sauce ,1,0.00
0808045703,Extra Peanut Sauce ,1,0.54
0612015341,Side Salad ,1,3.18
0612015042_deleted_12/9/2020 7:16:32 PM,Side of Brisket ,1,4.26
0612015232,Side of Shrimp (2) ,1,3.18
1226011712,Sweet Chili Sauce ,1,0.00
