Lookup Code,Description,Qty,Total (Tax included)
0110054137,Spring Rolls (2) ,667,"4,269.39"
0110125810,Pork Belly Banh Mi ,514,"4,929.04"
0110041204,Pho Special ,509,"6,514.71"
0126073557,Thai Tea ,302,"1,601.11"
0110054059,Egg Rolls (3) ,284,"2,117.42"
0118072941,Pho Chicken ,283,"3,333.40"
0110054856,Pho Shrimp ,251,"3,224.21"
0712013609,Pho Filet Mignon ,225,"3,351.71"
1112041825,Vietnamese Iced Coffee ,213,"1,118.23"
0823044656,Vermicelli Salad ,208,"2,657.55"
0110055058,Lemongrass Chicken Banh Mi ,196,"1,678.10"
0605023634,Mango Sweet Rice ,140,"1,269.72"
0605023506,Pho Vegan ,117,"1,497.80"
0808120923,Passionfruit Green Tea ,116,611.89
0110125814,Lemongrass Pork Banh Mi ,115,985.40
0126073445,Tofu Spring Rolls (2) ,114,711.49
1030030048,Saigon Hot Wings ,106,902.63
0605023613,Chicken Skewers (3) ,105,"1,009.37"
0718022356,Saigon Rice Plate ,101,"1,296.28"
0826060240,Firecracker Shrimp (5) ,91,779.70
0529010936,Spicy Basil Chicken ,89,"1,222.14"
0612013938,Tofu Banh Mi ,83,711.15
0227011223,Water Bottle ,82,172.29
0608094441,Shrimp Banh Mi ,73,782.54
0110060101,Coke ,69,144.60
0808120938,Strawberry Green Tea ,64,339.35
0613112614,Jasmine Green Tea ,60,254.75
1112041851,Iced Matcha Latte ,56,295.92
0712044630,Chicken Skewer Plate ,47,554.59
1105045327,Fries ,35,-0.02
0826044947,Honeydew Green Tea ,30,159.16
0110060114,7 Up ,28,58.83
0618081612,Side of Broth ,20,103.16
0612014956,Side of Rice ,20,52.79
1018110249,Spicy Basil Filet Mignon ,20,322.17
1454683623,Open Price ,17,59.54
1018105958,Spicy Basil Tofu ,17,234.38
0616061048,Side of Noodles and Broth ,14,119.93
1018110410,Diet Coke ,13,27.28
0808045703,Extra Peanut Sauce ,7,3.35
1226011857,Fish Sauce ,6,0.01
0612015019,Side of Noodles ,5,15.88
1018110005,Spicy Basil Shrimp ,5,80.55
0529124749,Tofu Vermicelli Salad ,4,47.20
0606025139,Diet Pepsi ,4,8.41
1226011712,Sweet Chili Sauce ,3,0.00
1226011646,Chili Oil ,2,0.00
1227061251,Small Side of Broth ,2,6.36
0614124408,Fried Egg (1) ,1,2.10
