Lookup Code,Description,Qty,Total (Tax included)
0110054137,Spring Rolls (2) ,549,"3,511.52"
0110041204,Pho Special ,508,"6,454.86"
0110125810,Pork Belly Banh Mi ,471,"4,498.03"
0110054059,Egg Rolls (3) ,312,0.24
0126073557,Thai Tea ,240,"1,269.29"
0118072941,Pho Chicken ,235,"2,768.19"
0110054856,Pho Shrimp ,231,"2,967.98"
0712013609,Pho Filet Mignon ,202,"3,009.83"
0110055058,Lemongrass Chicken Banh Mi ,175,"1,495.73"
1112041825,Vietnamese Iced Coffee ,168,883.44
0823044656,Vermicelli Salad ,153,"2,124.07"
0605023613,Chicken Skewers (3) ,131,0.03
0605023506,Pho Vegan ,122,"1,569.33"
0605023634,Mango Sweet Rice ,110,997.16
0110125814,Lemongrass Pork Banh Mi ,99,845.33
0529010936,Spicy Basil Chicken ,89,"1,330.91"
0718022356,Saigon Rice Plate ,85,"1,176.07"
0826060240,Firecracker Shrimp (5) ,85,-0.02
0227011223,Water Bottle ,85,178.57
0712044630,Chicken Skewer Plate ,82,964.05
0126073445,Tofu Spring Rolls (2) ,74,472.72
0612013938,Tofu Banh Mi ,73,621.70
0110060101,Coke ,71,148.81
1112041851,Iced Matcha Latte ,63,332.26
0608094441,Shrimp Banh Mi ,60,641.59
0808120923,Passionfruit Green Tea ,46,244.47
0110060114,7 Up ,34,71.39
0826044947,Honeydew Green Tea ,31,164.82
0613112614,Jasmine Green Tea ,31,115.79
0808120938,Strawberry Green Tea ,22,117.33
0606025139,Diet Pepsi ,14,29.09
0807042808,Pepsi ,11,23.10
0612014956,Side of Rice ,11,28.64
0618081612,Side of Broth ,7,35.73
1454683623,Open Price ,6,21.28
1018110249,Spicy Basil Filet Mignon ,6,103.14
0616061048,Side of Noodles and Broth ,5,42.85
0612015341,Side Salad ,5,15.90
0808045703,Extra Peanut Sauce ,4,2.16
0529124749,Tofu Vermicelli Salad ,4,48.94
0612015019,Side of Noodles ,3,9.54
0612015232,Side of Shrimp (2) ,3,9.54
1018105958,Spicy Basil Tofu ,3,45.09
1018110005,Spicy Basil Shrimp ,2,34.38
0614124408,Fried Egg (1) ,1,2.10
1018110410,Diet Coke ,1,0.00
