Lookup Code,Description,Qty,Total (Tax included)
0110054137,Spring Rolls (2) ,512,"3,266.69"
0110125810,Pork Belly Banh Mi ,410,"3,907.61"
0110054059,Egg Rolls (3) ,337,0.15
0110041204,Pho Special ,300,"3,836.12"
0126073557,Thai Tea ,188,"1,001.68"
0712013609,Pho Filet Mignon ,162,"2,416.72"
1112041825,Vietnamese Iced Coffee ,140,726.09
0126073445,Tofu Spring Rolls (2) ,134,814.22
0110055058,Lemongrass Chicken Banh Mi ,130,"1,108.83"
0605023634,Mango Sweet Rice ,128,"1,155.68"
0605023613,Chicken Skewers (3) ,125,0.02
0110054856,Pho Shrimp ,120,"1,539.78"
0718022356,Saigon Rice Plate ,97,"1,332.32"
1112041851,Iced Matcha Latte ,95,503.01
0118072941,Pho Chicken ,87,"1,024.82"
0529124711,Pork Salad (do not use) ,85,"1,179.55"
0712044630,Chicken Skewer Plate ,75,880.27
0110125814,Lemongrass Pork Banh Mi ,69,588.30
0529010936,Spicy Basil Chicken ,67,997.25
0605023506,Pho Vegan ,59,748.71
0612013938,Tofu Banh Mi ,55,468.31
0608094441,Shrimp Banh Mi ,54,578.90
0227011223,Water Bottle ,54,113.47
0110060101,Coke ,43,90.37
0529124727,Chicken Salad (do not use) ,40,555.95
0613112614,Jasmine Green Tea ,35,110.01
0823044656,Vermicelli Salad ,31,430.41
0110060114,7 Up ,26,54.31
0808120923,Passionfruit Green Tea ,25,132.27
0530122148,Shrimp Salad (do not use) ,24,384.23
0808045703,Extra Peanut Sauce ,17,7.83
0616061048,Side of Noodles and Broth ,14,119.98
0612014956,Side of Rice ,14,36.98
0606025139,Diet Pepsi ,14,29.40
0808120938,Strawberry Green Tea ,11,58.68
0826060240,Firecracker Shrimp (5) ,10,0.01
0807042808,Pepsi ,9,18.92
0715123135_deleted_8/26/2020 6:01:48 PM,Free Coke w/ Pho Filet Mignon ,8,0.00
0715123236_deleted_8/26/2020 6:01:45 PM,Free 7 Up w/ Pho Filet Mignon ,8,-0.01
0618081612,Side of Broth ,7,36.52
1454683623,Open Price ,6,39.66
0529124749,Tofu Vermicelli Salad ,5,68.69
0612015019,Side of Noodles ,4,9.55
0826044947,Honeydew Green Tea ,1,5.34
0612015341,Side Salad ,1,3.18
0614124408,Fried Egg (1) ,1,2.10
0312044744,Hot Coffee ,1,4.26
