Lookup Code,Description,Qty,Total (Tax included)
0110041204,Pho Special ,623,"7,954.96"
0110054137,Spring Rolls (2) ,491,"3,134.29"
0110125810,Pork Belly Banh Mi ,365,"3,499.35"
0118072941,Pho Chicken ,298,"3,493.31"
0110054059,Egg Rolls (3) ,284,0.15
0126073557,Thai Tea ,283,"1,493.24"
0110054856,Pho Shrimp ,261,"3,355.46"
0712013609,Pho Filet Mignon ,216,"3,218.69"
1112041825,Vietnamese Iced Coffee ,214,"1,126.85"
0823044656,Vermicelli Salad ,161,"2,234.96"
0110055058,Lemongrass Chicken Banh Mi ,146,"1,251.07"
0605023634,Mango Sweet Rice ,120,"1,086.38"
0605023506,Pho Vegan ,119,"1,530.02"
0808120923,Passionfruit Green Tea ,108,564.86
0529010936,Spicy Basil Chicken ,103,"1,539.87"
0605023613,Chicken Skewers (3) ,92,0.02
0110125814,Lemongrass Pork Banh Mi ,81,693.22
0718022356,Saigon Rice Plate ,79,"1,095.85"
0826060240,Firecracker Shrimp (5) ,79,-0.09
0126073445,Tofu Spring Rolls (2) ,75,477.53
0612013938,Tofu Banh Mi ,69,584.78
0227011223,Water Bottle ,62,130.25
0110060101,Coke ,56,117.38
0608094441,Shrimp Banh Mi ,50,536.02
1112041851,Iced Matcha Latte ,39,206.11
0613112614,Jasmine Green Tea ,38,161.76
0826044947,Honeydew Green Tea ,34,181.30
0808120938,Strawberry Green Tea ,34,180.55
1030030048,Saigon Hot Wings ,33,280.21
0712044630,Chicken Skewer Plate ,30,353.99
0110060114,7 Up ,24,50.45
1018110410,Diet Coke ,24,48.20
0612014956,Side of Rice ,18,47.53
1018110249,Spicy Basil Filet Mignon ,14,240.62
0807042808,Pepsi ,10,21.01
0616061048,Side of Noodles and Broth ,10,85.69
1105045327,Fries ,9,0.00
0618081612,Side of Broth ,9,46.42
1454683623,Open Price ,7,18.75
0529124749,Tofu Vermicelli Salad ,7,83.72
0612015232,Side of Shrimp (2) ,7,22.27
1018105958,Spicy Basil Tofu ,7,105.21
0606025139,Diet Pepsi ,6,12.60
0808045703,Extra Peanut Sauce ,4,2.16
1018110005,Spicy Basil Shrimp ,4,68.76
0614124408,Fried Egg (1) ,3,6.30
0612015042_deleted_12/9/2020 7:16:32 PM,Side of Brisket ,2,8.52
0612015019,Side of Noodles ,1,3.18
