Lookup Code,Description,Qty,Total (Tax included)
0110054137,Spring Rolls (2) ,353,"2,187.29"
0110041204,Pho Special ,324,"3,951.38"
0110125810,Pork Belly Banh Mi ,275,"2,628.08"
0110054059,Egg Rolls (3) ,168,940.20
0118072941,Pho Chicken ,105,"1,199.32"
0110054856,Pho Shrimp ,94,"1,197.26"
0605023613,Chicken Skewers (3) ,94,841.12
0605023634,Mango Sweet Rice ,91,772.84
0126073557,Thai Tea ,89,468.51
1112041825,Vietnamese Iced Coffee ,88,457.80
0110055058,Lemongrass Chicken Banh Mi ,86,729.84
0529124915,Coconut Curry Rice ,78,"1,074.91"
0126073445,Tofu Spring Rolls (2) ,75,430.96
0529124711,Pork Salad (do not use) ,52,600.14
0529124858_deleted_7/17/2020 8:18:05 PM,Pork Chop and Egg Rice ,49,661.29
0110125814,Lemongrass Pork Banh Mi ,45,383.98
1112041851,Iced Matcha Latte ,45,239.20
0605023506,Pho Vegan ,44,560.44
0529124727,Chicken Salad (do not use) ,28,330.39
0529010936,Spicy Basil Chicken ,27,371.93
0612113807_deleted_7/17/2020 8:15:58 PM,Shrimp Fritters ,27,199.60
0110060114,7 Up ,26,54.44
0110060101,Coke ,24,50.11
0530122148,Shrimp Salad (do not use) ,24,334.83
0613112614,Jasmine Green Tea ,22,69.95
0612013938,Tofu Banh Mi ,20,162.82
0227011223,Water Bottle ,20,41.92
1454683623,Open Price ,19,114.67
0612014956,Side of Rice ,18,44.35
0608094441,Shrimp Banh Mi ,14,150.09
0607102530_deleted_6/12/2020 12:25:58 PM,Coconut Shrimp Curry ,11,177.20
0606025139,Diet Pepsi ,10,21.04
0530122633_deleted_6/5/2020 2:36:03 PM,pho shrimp ,10,117.09
0529124749,Tofu Vermicelli Salad ,8,93.91
0314090712_deleted_6/7/2020 5:59:47 PM,Matcha Latte ,6,32.01
0616061048,Side of Noodles and Broth ,4,34.28
0612015019,Side of Noodles ,4,9.00
0618081612,Side of Broth ,2,10.66
0227011309_deleted_6/12/2020 1:40:53 PM,Iced Jasmine Green Tea ,2,8.52
